Item title,Item link,Transcription,Image link
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22326,"Form of innocent persons out of those conventions &amp; that ther is no question to bee made of it,  but (crossed out illegible) ^ as to his natural pow^r and art he is able to make their [crossed out word: power?] shapes appear among his Servants, but he (L) supposeth the providence of God will not suffer such an injury to be done to an inocent person w^th him (m) _Delrio_ , and _Spin[crossed out letter]us_ concr.  _Cumancy_ in his _Lucerna Inquisitorium_ (a book I have not yet seen) defends the affirmative of this Question. _Binsfieldins_ [crossed out citation] in his treatise concerning the con=fession of witches inclines to tho negative: only (o) he acknowledges that _Dei extraordinaria permissione posse niocentes ^sic representari._ And ^hee that shall assert that the great and holy God nev^r did nor ever will permitt the Divel thus far to abuse an inocent person, affirms more then he is able to prove. The story of _Germanus_ his discovering of a Diabolicall illusion of this nature concerning a great number of persons that seemed to be at a feast when they were really at home &amp; a= sleep is mentioned by many authors. But the Particulars insisted on he Sufficiently lived the truth of what wee assert viz. that the Divel may by Divine permission appear in the shape of [crossed out illegible] inocent and [crossed out letter] pious persons. Never the less, tis evident from another Scripture viz that in the 2 Cor. 11. 14 ^ _ for Satan Himselfe is transformed into an Angell of Light_. Hee seems to be what their not



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_17_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22327,"and makes others seem to be what they are not.
Hee represents evill men as good &amp; good men
as evill. The Ang^ls of Heaven (who are Angels of
Light) Love truth and Righteousness; the Divel will
seem to doe so too. And does therefore Lay before
men Excellent good principles &amp; Exhort them (as he
did _Theodore Maillot_) to practice many things
which by the Law of Righteousness they are=
oblidged unto, thereby more Effectually to
deceive. Is it not strange that ^hee has some=
times intimated to his most devoted servants
that if they would have familiar conversation
with him they must be carefull to keep thems.
from Enormous Sins, and pray constantly for
Divine Protection? But so hath he trans=
formd himself into an Angel of Light, as
(B)_Boissardus_ showeth. He has frequently ap=
peared unto men pretending himself to be
a good Angel, so to Anatolius of Old; &amp; the
Late Instances of _Dr Dee_ &amp; _Keller_ are famous=
ly known. How many deluded Enthusiasts
in former and latter times have been imposed
on by Satans visibly appearing to them, pre=
tending to bee a good angel? And moreov^r, he may
be said to _transform himself into an Angel of
Light_, Because of his appearing in the form of 
holy men who are the Children of Light. Yea in
(B) De prentis megia p.30
(9) De&#160;?? cansebra of spirits



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_18_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22328,"the Shape and habitt of Eminent ministers of God. So did he to appear to m^r _Earl_ of _Colcheser_ in the Sikeness of m^r _Liddal_, an Holy man of God. and to the Turkish Chaous Babtized at _London_ anno= [1608?] Pretending to be m^r _Dury_ an Exellent minister of Christ. and how often hath he pretended to be the Apostle Saul or Seteror Some celebrated (t) - Saint? Ecclesiasticall histories abound with in=stances of that nature. Yea Sometimes he has trans=figured himself into the form of Christ. It is repor=ted that he appeared to (r) Saint _Martin_ glorious=ly arrayed as if he had been Christ. So Likewise to (s) _Secundelley_ &amp; to another Saint who Suspecting it was Satan transforming himself into an Angell of Light; had this Expression. _If I may see Christ in= Heaven tis enough. Desire not to See him ^in this world_ whereupon the _Spectre_ vanished. It has been related of _Luther_ that After he had been fasting and praying in his Studdy the Divel comes and pretends to be Christ, but _Luther_ saying a=way thou confounded Divel I acknowledge no Christ but what is m my Bible, nothing more was seen thus then the Divel is able (by divine permission) to change himself into what form or figure he pleaseth. [decorative mark] _Omnia transformat selsim miracularerum_[decorative mark]
A third scripture to our purpose is that in Rev. 12, 10, wher the Divel is cal'd _the accuser of the Brethrn_. Such is the malice and Impudence of the Divel as that he does accuse good men of
[In Margin:
(t)bert. dr of essex Carfax papatus. L. 2. S. 2.
r) suss. [illegible] in [?bil] appearing
s) Ignaccious in compendio maleficarum p. 342.



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_19_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22329,"that before God, and that not only of such 
faults as they really are guilty of; as hee 
accused Joshua [written over the word of: aft] his filthy garments, when 
throw his indulgences some of his family had 
transgressed by unlawfull marriages. Zech. 3.2,3. 
Ezra.10.18. but also with such crimes as= 
they are altogether free from. he represen=
ted the primitive Christians as the vilest ^of men 
and as if at their meetings they did commit 
the most nefarious vilanies that ever were=
known. And that not only inocent but eminent=
ly pious persons should thrô the malice of the 
Divel be accused with the Crime of witchcraft 
is no new thing. Such an affliction did the Lord 
see meet to exercise the great [underlined: Athanasius] with 
(+) [note in margin: (+) .Binffield de Sagis. p. 187.] only the providence of God did wonderfully vin=
dicate him from that as well as from some other 
fowle aspersions. The [underlined: Waldenses] (altho the Scriptures 
call them Saints Revela.19.7.) have been tradu=
ced by Satan and by the world as horrible witches. 
So have others in other places, only because they have 
done Extraordinary things by their prayers. It is 
by many authors related that a city in [underlined: France] was 
molested with a Diabolicall [underlined: Spectre], which the 
people were wont to Call [underlined: Hugon], nere that place 
a number of Protestants were wont to meet to 
Seek God; so hence the professors of the true reformed 
Religion were wont to be Called [underlined: Hugonats]; by the pa=
pists who designd to render them before the world



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_20_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22330,"as Servants and worshipers of that Demon that went under the name of _Hugon_. And how often have I read in bookes written by Jesuits that _Luther_ was a wizard, and that he did himself confess that he had familiarity with Satan. Most Impudent untruthes! nor are these things to be wondered at Since the Holy Son of God himself was reputed a _Magician_ and ^to be one that had familiarity with the greatest of Divells. The Pharises Said [underlined] he casts out Divels thrô the Prince of Divels [/underlined] Mat 9. 34 Ther is then notthe lest= Saint of Earth (man or woman) that can assure thems that the Divel Shall not Cast Such an [1 word crossed out] Imputation upon them. It is enough for [underline] the Disciple that he fear his maister and true Servant of his Lord. If they have called the Maist^r of the House Bezebub how much more those of his house hold Mat 30. 25 [/underline] It is not for men to determine how far the holy God may permit his wicked one to proceed in his accusations. The Sacred Story of Job gives us to understand that the Lord whose wayes are past finding out, dose for wise and holy ends Suffer Satan by Imediate= Operation, (and consequently by witchcraft) greatly to afflict inocent persons as in their bodies &amp; Estates so in their reputations. I shall menton but one Scripture more to Confirm the truth in hand, It is that in Ecclesiastes 9, 2, 3 Wher tis Said [underline] all things come alike to all ther is one Event to the Righteous and to the wicked as is the good so is the Sinn^r This is an Evil amongst all things und^r the Sun that ther is one Event happeneth to all. [/underline] ^ from hence we infer that ther is no outward
[Margin: ^ and ch. y. ps. 15. tis sayd _there is a just man yt persists in his Righteousness._



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_21_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22331,"affliction whatsoever, but may befall a good 
man, now to bee represented by Satan as atormen=
ter of bevilified or Possessed Persons, is a sore affliction 
[crossed out line] this then may happen to a good man]. To bee tormented by Satan is a sore 
afliction yet nothing but what befell Job and a 
Daughter of Abram whom we read of ^in the Gospel. 
To be represented by Satan as tormenting others 
is an Affliction Like the the former. The Lord may 
bring such Extraordinary Temptations on his own 
Children to afflict and Humble them for some sins 
they have bin guilty of before him. A most wick=
ed person in _St. Ives_ got a knife and went w^th 
it to a ministers house, designing to stab him 
but was disapointed. Afterward ^her coscience being awakened, [lined crossed out] 
the Divel appears to this person in the shape of 
that minister with a Knife in his hand Exhorting 
to Self murder. was not here a punishment 
suitable to the Sin which that person had been 
guilty of? Perhaps some of those whom Satan 
represents as Committing witchcrafts have 
been tampering with some foolish and wicked 
sorceries thô not to that degree which is Criminal 
and Capitall by the Laws of God and man. for this 
Satan may be permitted to to Scourge them. or it 
may be they have misrepresented and abused others 
for which cause the Holy God may Justify give Sa=
tan Leave falsly to represent them. Have wee 
not known some that have bitterly conjured



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_22_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22332,"all that have been Complained of by bewitched^ed persons saying it was impossible they should not be guilty. Soon upon which thems^selves or some of their near Relations have to the Lasting infamy of their familys been accused after this same manner, and personated by the Divel. Such tremendous rebukes on a few should make all men to be Carefull how they Joyne with Satan in Condemning the Inȏcent. [decorative flourish] Argum^t [illegible number] Because tis Possible for the Divel in the Shape of an Inocent person to doe other mischeifs. As for those that Acknowledge Satan may personate a pious person, but not to doe mischeif, their Opinion has been Confuted by more than a few unhappy instances. Mr [sidenote: a) Exampl. vol. 1. p. 500] _Clark_ Speaks (a) of aman that had been an Atheist or a Sadduce not beleiving that ther are any Divels, or any (to us) invisible world. this man was Converted but as a punishment for his infidelity Evil angels did often appear to him in the Shape of his intimate friends &amp; would Sometime Seduce him into great inconveniences. I have [crossed out word: been] Elsewhere noted that a dӕmon in the Shape of Exellent Mr _Dury_ appeard to the Turkish Chaous Anno 1658 to diswade him from prosecuting his designs of brings Baptiseduce [Baptism?] into the Name of Christ. Also to Mr _Earl_ in the Likeness of his friends to dis=



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_23_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22333,"courage him from doing things Lawfull &amp;
good. A multitude of Jews [crossed out word: persons] were once de=
luded by a person pretending to be moses from
Heaven, and that if they would follow him
they should pass safely throw the sea (as did
their fathers of old throw the Red Sea) wherby
great numbers of them were deceived &amp; perish=
ed in the waters (w)  Learned and Judicious men
have concluded that this [two underlined words: Moses Cretensis] was a
[underlined word: Daemon] Transforming himself into [underlined word:Moses].
And that the Divel has frequently appeared in the
shape of famous persons to the end he might=
seduce into Idolatry (a Sin equall to that of=
Witchcraft. No man that has made it his con=
cern to Enquire into things of this nature can be
Ignorant. Many Examples of this kind are col=
lected by Mr [underlined word: Bromhall] in his Treatise of Spectres
and the Cunning Delusions of the Divel to strengthen
men in worshiping of Saints departed. And by Mr
[underlined word: Bovet] in his [underlined word: pandaemonium]. It is credibly re
ported that the Divel in the likeness of a faithfull
minister of Christ ([caret symbol. Inserted words: at St Ives near [underlined word: Boston] in Lincoln Shire)
came to one that was troubled in mind [caret symbol. Inserted words: (ye same as [illegible] mentioned)] telling her
that the Long^r she lived the worse it wold be for her
and therfore advising her to Self murder. An Emi
nent person still living had the account of this
matt^r from Mr [underlined word: Cotton] (the famous Teacher of both
[Written in left margin]
w) Socrates
[Illegible]



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_24_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22334,"Bostons) he was well acquainted with the Mi=
nister concerned, who related to him the whole
story wth all the Circumstances of it. For Mr. [underlined word:Cotton] 
was so affected with the Report as to take a
Journey on purpose to the Towne whor this Hap=
pened, that so he might obtain a Satisfactory
account about it, which he did. Some Authors
say that a [underlined word: Daemon] appeard in the form of [underlined word:Sylva] 
[continued underlined word: nus] (Hierom's friend). Attempting a dishonest=
thing, the Divel therby designing to blast the
reputation of a Famous Bishop. I have in another
Booke mentioned that celebrated instance=
concerning an honest citizen in Zukik [?] (the
[underlined three words: Metropolis of Helvetia]) in whose shape the Divel
appeared Committing an Abominable Act
(not fitt to be named) very early in the morning
seen by the Prefect of the city and his servant.
they were amazed to behold a man of Good Esteem
for his honest conversation perpetuating a thing
so vile and abominable but going from the
[underlined word: spectre] in the field to the Citizens house in the
Town they found him at home in his bed, nor
had he been abroad that morning which con=
vinced them that what they saw was an Il=
lusion of the Divell. This passage is mentiond
as a thing known and certain by [underlined word: Lavater] in
his Treatise of Spectres (2) who was a most
Learned and Judicious preacher in that city. For
[written in left margin bottom: (2) pass 1.
cap. 19. p.
86.]



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_25_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22335,"15
[underlined: Juell] Saith of him that he ^must ingeniously confess
that he never understood Solomons proverbs
[crossed out word] ^untill [underlined: Lavater] Expounded them to him. That book 
of his [underlined: de Spectris] has been Published in Latin
Greek, ^high and Low Dutch, French, Italian. The [Lear=]
ned [underllined: Zanchy] (+)Speakes highly of it, professing
that he had read it both with Pleasure and pro=
fitt. [underlined: Voetius] (a) takes notice of that passage we
have [crossed out word: illegible] Quoted out of [underlined: Lavater] as a thing-
memorable. Some Popish Authors argue that
the Divel cannot personate the such as an [crossed out 1 word] Inocent do=
ing an act of Witchcraft because then he might
as well represent them Committing [crossed out: Self] murder
and If so then would there be no Living in the world.
But  I turn the Argument against them. [crossed out word:and] 
Hee may (as the mentioned instances Prove) perso-
nate honest men as doing other Evils. And no
Solid Reason can be given why he may not as
well personate them under the notion of witches as
under the notion of Theeves, Murderers, &amp; Idola=
tors. As for the objection that then ther would be
no Living in the world, we shall consider that un=
der the next Argument.
Argument 3. If Satan may not represent one
that is not a Covenant Servant of his as affecting=
those that are [crossed out: affected] bewitched or possessed, then tis because
he wants either will, or Power to doe this, or because
God will never permitt him to doe so. No man
but a Saducee doubts of the Ill will of Divells.

[In Margin: (+)Epistol. 2
(a)in dispute
de Magia.
p. 525]



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_26_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22336,"Nothing is more pleasing to the malice of those wicked Spirits then to see inocents wrong'd. And the powr of the Enemy is such that having  anew obtaind a divine concession to use his arts, he does this and much more then this amounts unto.  We know by Scripture Revealation, that the Sorcerers of Egypt by their Inchantments caused many untrue and delusive representations before Pharoh and his Servts, Ex. 9.11, 12. &amp; 8. 9. &amp; we read of the [underlined: working of Satan with all powr and signs &amp; Lying wonders] 2 Thes. 2. 9 his art is beyond wt the wisest of men may pretend unto. he ^has perfect Skill in Opticks and can therfore cause that to be visible to one which is not so to another: and things also to appear far otherwise than they are.  he has likewise the art of Limning in the perfection of it &amp; knoweth what may be done by Colours. It is an od passage which I find in the c6)

[underlined: Acta Eruditorum] [margin note: c6)  A. 1690- p.113] printed at [underlined: Lipsick] that about thirty two years agoe an Indigent Merchant at [underline:Lyons] in [underline:France] was instructed by a Demon that with water of Borax he might colour  Taffeties so as to cause them to glister and look very gay.  Hee sees to the naturall causes and reasons of things - whereby he is able to produce wonderfull Effects.  So that if he doth not form the shape of an inocent person afflicting Others it is not for want of either will or powr.  They that affirm that God nevr did or ever will permit him thus to doe -- alledge that tis inconsistent, with the Righte-



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_27_o3.jpg
